Area Served,Callsign,Frequency(MHz),Purpose,Polarisation,Antenna Height,Antenna Pattern,Maximum ERP (W),Technical Specification Number,Licence Number,Site id,Site Name,Zone,Easting,Northing,Latitude,Longitude,State,Channel,BSL,Licence Area,Licence Area ID,Status,,Latitude (deg),Longitude (deg)
Carnarvon,ABC6,177.5,National,H,65,DA,180,10012571,1158866,31839,Broadcast Australia Site Brown Range off North West Coastal Hwy CARNARVON,0,0,0,24 54 21S,113 43 14E,WA,6,,,,Issued,,24.9058333333333,113.720555555556
Carnarvon,WAW7,184.5,Commercial,H,65,DA,180,1134370,1952148,31839,Broadcast Australia Site Brown Range off North West Coastal Hwy CARNARVON,0,0,0,24 54 21S,113 43 14E,WA,7,4747,WESTERN ZONE TV1,641,Issued,,24.9058333333333,113.720555555556
Carnarvon,WDW8,191.5,Commercial,H,65,DA,180,1134372,1952165,31839,Broadcast Australia Site Brown Range off North West Coastal Hwy CARNARVON,0,0,0,24 54 21S,113 43 14E,WA,8,1130047,WESTERN ZONE TV1,641,Issued,,24.9058333333333,113.720555555556
Carnarvon,SBS11,219.625,National,H,65,DA,180,10012577,1159236,31839,Broadcast Australia Site Brown Range off North West Coastal Hwy CARNARVON,0,0,0,24 54 21S,113 43 14E,WA,11,,,,Issued,,24.9058333333333,113.720555555556
Carnarvon,WOW12,226.5,Commercial,H,65,DA,180,1134371,1952125,31839,Broadcast Australia Site Brown Range off North West Coastal Hwy CARNARVON,0,0,0,24 54 21S,113 43 14E,WA,12,10048,REMOTE AND REGIONAL WESTERN AUSTRALIA TV1,801,Issued,,24.9058333333333,113.720555555556
Cue,ABC10,212.5,National,H,24,DA,10,1131854,1957093,151447,Broadcast Site end of Foster St CUE,0,0,0,27 25 44S,117 54 2E,WA,10,,,,Issued,,27.4288888888889,117.900555555556
Denham,ABC7,184.5,National,H,49,DA,50,1132072,1907979,31181,Telstra Radio Terminal Monkey Mia Rd DENHAM,0,0,0,25 55 27S,113 32 38E,WA,7,,,,Issued,,25.9241666666667,113.543888888889
Esperance,VDW8,191.5,Commercial,H,73,DA,500,1134359,1947983,30253,Telstra Site Wireless Hill ESPERANCE,0,0,0,33 52 30S,121 53 41E,WA,8,1130048,KALGOORLIE TV1,312,Issued,,33.875,121.894722222222
Esperance,SBS9,198.5,National,H,73,DA,500,10012533,1159440,30253,Telstra Site Wireless Hill ESPERANCE,0,0,0,33 52 30S,121 53 41E,WA,9,,,,Issued,,33.875,121.894722222222
Esperance,ABC9A,205.5,National,H,75,DA,500,10012529,1158867,30253,Telstra Site Wireless Hill ESPERANCE,0,0,0,33 52 30S,121 53 41E,WA,9A,,,,Issued,,33.875,121.894722222222
